,Biblical Index,Count,value,text,trimmed name
0,Dt 1:5,1,Meachum,1846-neh-meachum-meachum.txt,neh-meachum-meachum.txt
1,Dt 1:9,15,Aleckson,1929-neh-aleckson-aleckson.txt,neh-aleckson-aleckson.txt
2,Dt 1:13,1,Andersonr,1892-neh-andersonr-andersonr.txt,neh-andersonr-andersonr.txt
3,Dt 2:3,11,Vale,1835-neh-vale-vale.txt,neh-vale-vale.txt
4,Dt 5:6,3,Jeajohn ,1811-neh-jeajohn-jeajohn.txt,neh-jeajohn-jeajohn.txt
5,Dt 6:4,60,Arter,1922-neh-arter-arter.txt,neh-arter-arter.txt
6,Dt 6:5,9,Arter,1922-neh-arter-arter.txt,neh-arter-arter.txt
7,Dt 6:6,47,Aaron,1845-neh-aaron-aaron.txt,neh-aaron-aaron.txt
8,Dt 6:8,6,Holsey,1898-neh-holsey-holsey.txt,neh-holsey-holsey.txt
9,Dt 6:9,4,Jasper,1884-neh-jasper-jasper.txt,neh-jasper-jasper.txt
10,Dt 10:20,4,Holsey,1898-neh-holsey-holsey.txt,neh-holsey-holsey.txt
11,Dt 18:9,2,Aaron,1845-neh-aaron-aaron.txt,neh-aaron-aaron.txt
12,Dt 30:15,1,Sancho,1782-neh-sancho2-sancho2.txt,neh-sancho2-sancho2.txt
13,Dt 30:15,1,Ballslavery-ball,1837-neh-ballslavery-ball.txt,neh-ballslavery-ball.txt
14,Dt 30:15,1,fpn-ball-ball,1859-fpn-ball-ball.txt,fpn-ball-ball.txt
15,Dt 30:15,1,Campbell,1861-neh-campbell-campbell.txt,neh-campbell-campbell.txt
16,Dt 30:15,1,Picquet,1861-neh-picquet-picquet.txt,neh-picquet-picquet.txt
17,Dt 30:15,1,Beard63,1863-neh-beard63-beard63.txt,neh-beard63-beard63.txt
18,Dt 30:15,1,Hawkins,1863-neh-hawkins-hawkins.txt,neh-hawkins-hawkins.txt
19,Dt 30:15,1,Randolph,1893-neh-randolph-randolph.txt,neh-randolph-randolph.txt
20,Dt 30:15,1,Smitham,1893-neh-smitham-smith.txt,neh-smitham-smith.txt
21,Dt 30:15,1,Early,1894-neh-early-early.txt,neh-early-early.txt
22,Dt 30:15,1,Andersrob,1895-neh-andersrob-andersrob.txt,neh-andersrob-andersrob.txt
23,Dt 30:15,1,Drumgoold,1898-neh-drumgoold-drumgoold.txt,neh-drumgoold-drumgoold.txt
24,Dt 30:15,1,Rayemma,1926-neh-rayemma-rayemma.txt,neh-rayemma-rayemma.txt
25,Dt 31:6,1,Eldridge,1838-neh-eldridge-eldridge.txt,neh-eldridge-eldridge.txt
27,Dt 1:9,15,Keckley,1868-neh-keckley-keckley.txt,neh-keckley-keckley.txt
29,Dt 2:3,11,Meachum,1846-neh-meachum-meachum.txt,neh-meachum-meachum.txt
30,Dt 5:6,3,Grimes25,1825-neh-grimes25-grimes25.txt,neh-grimes25-grimes25.txt
31,Dt 6:4,60,Holsey,1898-neh-holsey-holsey.txt,neh-holsey-holsey.txt
32,Dt 6:5,9,Holsey,1898-neh-holsey-holsey.txt,neh-holsey-holsey.txt
33,Dt 6:6,47,Black,1847-neh-black-black.txt,neh-black-black.txt
34,Dt 6:8,6,Venture2,1897-neh-venture2-venture2.txt,neh-venture2-venture2.txt
35,Dt 6:9,4,Andersrob,1895-neh-andersrob-andersrob.txt,neh-andersrob-andersrob.txt
36,Dt 10:20,4,Brinch, 1810-neh-brinch-brinch.txt,#NAME?
37,Dt 18:9,2,Drumgoold,1898-neh-drumgoold-drumgoold.txt,neh-drumgoold-drumgoold.txt
53,Dt 1:9,15,Lowery,1911-neh-lowery-lowery.txt,neh-lowery-lowery.txt
55,Dt 2:3,11,Keckley,1868-neh-keckley-keckley.txt,neh-keckley-keckley.txt
56,Dt 5:6,3,Neilson,1847-neh-neilson-neilson.txt,neh-neilson-neilson.txt
57,Dt 6:4,60,Wilkerson,1861-neh-wilkerson-wilkerson.txt,neh-wilkerson-wilkerson.txt
58,Dt 6:5,9,J Lewis,1852-neh-lewisjw-lewisjw.txt,neh-lewisjw-lewisjw.txt
59,Dt 6:6,47,Smitham-smith,1893-neh-smitham-smith.txt,neh-smitham-smith.txt
60,Dt 6:8,6,Holsey,1898-neh-holsey-holsey.txt,neh-holsey-holsey.txt
61,Dt 6:9,4,Arter,1922-neh-arter-arter.txt,neh-arter-arter.txt
62,Dt 10:20,4,Arter,1922-neh-arter-arter.txt,neh-arter-arter.txt
79,Dt 1:9,15,Jeter,1901-neh-jeter-jeter.txt,neh-jeter-jeter.txt
81,Dt 2:3,11,Holland,1895-neh-holland-holland.txt,neh-holland-holland.txt
83,Dt 6:4,60,Long,1857-neh-long-long.txt,neh-long-long.txt
84,Dt 6:5,9,Brinch, 1810-neh-brinch-brinch.txt,#NAME?
85,Dt 6:6,47,Holsey,1898-neh-holsey-holsey.txt,neh-holsey-holsey.txt
86,Dt 6:8,6,Brown47,1847-neh-brown47-brown47.txt,neh-brown47-brown47.txt
87,Dt 6:9,4,Doug192,1892-neh-dougl92-dougl92.txt,neh-dougl92-dougl92.txt
88,Dt 10:20,4,Wilkerson,1861-neh-wilkerson-wilkerson.txt,neh-wilkerson-wilkerson.txt
105,Dt 1:9,15,Gregory,1893-neh-gregory-gregory.txt,neh-gregory-gregory.txt
107,Dt 2:3,11,AuntJudy,1855-neh-auntjudy-auntjudy.txt,neh-auntjudy-auntjudy.txt
109,Dt 6:4,60,Jeajohn,1811-neh-jeajohn-jeajohn.txt,neh-jeajohn-jeajohn.txt
110,Dt 6:5,9,Rayemme,1926-neh-rayemma-rayemma.txt,neh-rayemma-rayemma.txt
112,Dt 6:8,6,brownw-brown,1849-fpn-brownw-brown.txt,fpn-brownw-brown.txt
131,Dt 1:9,15,Ballslavery-ball,1837-neh-ballslavery-ball.txt,neh-ballslavery-ball.txt
133,Dt 2:3,11,Jamison,1912-neh-jamison-jamison.txt,neh-jamison-jamison.txt
136,Dt 6:5,9,Mott,1875-neh-mott-mott.txt,neh-mott-mott.txt
138,Dt 6:8,6,Roberts,1858-neh-roberts-roberts.txt,neh-roberts-roberts.txt
157,Dt 1:9,15,fpn-ball-ball,1859-fpn-ball-ball.txt,fpn-ball-ball.txt
