Gender,Author,Last Name Author,First Middle,Filename
m,Aaron Aaron,Aaron,  Aaron,neh-aaron-aaron.xml
m,H. G. Adams,Adams,H. G. ,neh-adamsh-adamsh.xml
m,John Quincy Adams,Adams,John Quincy,neh-adams-adams.xml
m,Selim Aga,Aga,Selim  ,neh-aga-aga.xml
f,Octavia V. Rogers Albert,Albert,Octavia V. Rogers ,neh-albert-albert.xml
m,"Sam Aleckson, Sam","Aleckson, Sam",Sam  ,neh-aleckson-aleckson.xml
m,"Charles Alexander, Charles","Alexander, Charles",Charles ,neh-alexander-alexander.xml
m,Richard Allen,Allen,Richard  ,neh-allen-allen.xml
m,William J. Allinson,Allinson,William J. ,neh-allinson-allinson.xml
m,"Robert Anderson, Robert","Anderson, Robert",Robert  ,neh-andersrob-andersrob.xml
m,Thomas Anderson,Anderson,Thomas  ,neh-anderson-anderson.xml
m,William J. Anderson,Anderson,William J. ,neh-andersonw-andersonw.xml
m,Wilson Armistead,Armistead,Wilson  ,neh-armistead-armistead.xml
m,Jared Maurice Arter,Arter,Jared Maurice ,neh-arter-arter.xml
m,Arthur Arthur,Arthur,  Arthur,neh-arthur-arthur.xml
m,Charles Ball,Ball,Charles  ,fpn-ball-ball.xml
m,Mahommah Gardo Baquaqua,Baquaqua,Mahommah Gardo ,neh-baquaqua-baquaqua.xml
m,John Warner Barber,Barber,John Warner ,neh-barber-barber.xml
m,Philip Barrett,Barrett,Philip  ,neh-barrett-barrett.xml
m,Solomon Bayley,Bayley,Solomon  ,neh-bayley-bayley.xml
m,J. R. Beard,Beard,J. R. ,neh-beard63-beard63.xml
m,Henry Bibb,Bibb,Henry  ,
m,Leonard Black,Black,Leonard  ,
m,Norvel Blair,Blair,Norvel  ,neh-blair-blair.xml
m,Henry Bleby,Bleby,Henry  ,
m,Thomas Bluett,Bluett,Thomas  ,
f,Sarah H. Bradford,Bradford,Sarah H. ,neh-harriet-harriet.xml
m,George F. Bragg,Bragg,George F. ,
m,Levi Branham,Branham,Levi  ,
m,Boyrereau Brinch,Brinch,Boyrereau  ,neh-brinch-brinch.xml
f,Hallie Q. Brown,Brown,Hallie Q. ,
f,Rebecca Warren Brown,Brown,Rebecca Warren ,
m,Sterling N. Brown,Brown,Sterling N. ,
m,Henry Box Brown,Brown,Henry Box ,
m,John Brown,Brown,John  ,
f,Josephine Brown,Brown,Josephine  ,neh-brownj-brownj.xml
m,William Wells * Brown,Brown,William Wells *,neh-brown55-brown55.xml
f,Martha Griffith Browne Browne,Browne,Martha Griffith Browne,neh-browne-browne.xml
m,Henry Clay Bruce,Bruce,Henry Clay ,
m,John Edward Bruce,Bruce,John Edward ,
m,Peter Bruner,Bruner,Peter  ,
f,Annie L. Burton,Burton,Annie L. ,
m,Thomas William Burton,Burton,Thomas William ,
m,Israel Campbell,Campbell,Israel  ,
m,L. C. Capehart,Capehart,L. C. ,
m,Lewis Charlton,Charlton,Lewis  ,
m,Pharaoh Jackson Chesney,Chesney,Pharaoh Jackson ,
m,Charles Waddell Chesnutt,Chesnutt,Charles Waddell ,
f,Millie-Christine,Christine,  Millie-Christine,
m,Lewis Garrard Clarke,Clarke,Lewis Garrard ,
m,Samuel Spottford Clement,Clement,Samuel Spottford ,
f,Fanny Jackson Coppin,Coppin,Fanny Jackson ,
f,Mary L. Cox,Cox,Mary L. ,
m,William Craft,Craft,William,
m,Ottobah Cugoano,Cugoano,Ottobah  ,
m,James Curry,Curry,James  ,
m,Noah Davis,Davis,Noah  ,
f,Lucy A. Delaney,Delaney,Lucy A. ,
m,Frederick Douglass,Douglass,Frederick  ,
m,Benjamin Drew,Drew,Benjamin  ,
f,Kate Drumgoold,Drumgoold,Kate  ,
f,Sarah J. W. Early,Early,Sarah J. W. ,
f,S. J. Celestine Edwards,Edwards,S. J. Celestine ,
m,John Passmore Edwards,Edwards,John Passmore ,
m,William Greenleaf Eliot,Eliot,William Greenleaf ,
f,Elizabeth,Elizabeth,  Elizabeth,
m,Olaudah Equiano,Equiano,Olaudah  ,
m,Francis Fedric,Fedric,Francis  ,
m,L. R. Ferebee,Ferebee,L. R. ,
m,Fields,Fields,  Fields,
m,Walter L. Fleming,Fleming,Walter L. ,
m,Henry Ossian Flipper,Flipper,Henry Ossian ,
m,Silas Xavier Floyd,Floyd,Silas Xavier ,
m,Edmund Fortis,Fortis,Edmund  ,
m,Gustavus L. Foster,Foster,Gustavus L. ,
m,Francis Frederick,"Frederick, Francis",Francis  ,
m,T. H. Gallaudet,Gallaudet,T. H. ,
m,Charles A. Garlick,Garlick,Charles A. ,
m,Moses Grandy,Grandy,Moses  ,
m,A. R. Green,Green,A. R. ,
m,Elisha Winfield Green,Green,Elisha Winfield ,
f,Frances H. Green,Green,Frances H. ,
m,William Green,Green,William  ,
m,J. D. Green,Green,J. D. ,
m,James M. Gregory,Gregory,James M. ,
m,Ellwood Griest,Griest,Ellwood  ,
m,William Grimes,Grimes,William  ,
m,James Albert Ukawsaw Gronniosaw,Gronniosaw,James Albert Ukawsaw ,
m,Ralph Randolph Gurley,Gurley,Ralph Randolph,
m,Samuel Hall,Hall,Samuel  ,
m,Briton Hammon,Hammon,Briton  ,
m,William E. Hatcher,Hatcher,William E. ,
m,William G. Hawkins,Hawkins,William G. ,
m,William Hayden,Hayden,William  ,
m,William H. Heard,Heard,William H. ,
m,Madison Henderson,Henderson,Madison  ,
m,George Henry,Henry,George  ,
m,Thomas W. Henry,Henry,Thomas W. ,
m,Josiah Henson,Henson,Josiah  ,
m,Richard Hildreth,Hildreth,Richard  ,
m,Frederic May Holland,Holland,Frederic May ,
m,J. W. Holley,Holley,J. W. ,
m,Lucius Henry Holsey,Holsey,Lucius Henry ,
m,Isaac T. Hopper,Hopper,Isaac T. ,
m,George Moses Horton,Horton,George Moses ,
m,Louis Hughes,Hughes,Louis  ,
m,John Andrew Jackson,Jackson,John Andrew ,
m,Andrew Jackson,Jackson,Andrew  ,
f,Mattie J. Jackson,Jackson,Mattie J. ,
f,Harriet A. Jacobs,Jacobs,Harriet A. ,
m,John S. Jacobs,Jacobs,John S. ,
m,Thomas James,James,Thomas  ,
m,Monroe Franklin Jamison,"Jamison, Monroe Franklin",M. F. ,
m,John Jea,Jea,John  ,
m,Paul Jennings,Jennings,Paul  ,
m,Henry N. Jeter,Jeter,Henry N. ,
m,Isaac Johnson,Johnson,Isaac  ,
m,Thomas L. Johnson,Johnson,Thomas L. ,
m,Abraham Johnstone,"Johnstone, Abraham",Abraham  ,
m,Friday Jones,Jones,Friday  ,
m,Thomas H. Jones,Jones,Thomas H. ,
m,John Joseph,Joseph,John  ,
m,John Joyce,Joyce,John  ,
f,Elizabeth Keckley,Keckley,Elizabeth  ,
m,Edmond Kelley,Kelley,Edmond  ,
